,perturbation,n,r2,fid
84,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,3280,0.8629006900172304,0.4839962316199262
85,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,3272,0.8433102823535533,0.5798107562006685
86,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,3268,0.8283851464592911,0.47921947063142056
87,COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1,3261,0.834846132147588,0.4560332028737548
88,S=P(N1CC1)(N1CC1)N1CC1,3257,0.8734497964901586,0.4593743795639682
89,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,3250,0.8518374518044178,0.5101068323537632
90,Cc1c(NC(=O)OCC2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,3239,0.8547127350614928,0.4718416238136811
91,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,3237,0.8705840342248291,0.483964201258793
92,NC(=O)C(CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,3234,0.8692383165438473,0.4697975503037277
93,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,3225,0.9087833002996093,0.8311494310169891
94,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,3209,0.8669727387309286,0.6852603838229427
95,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,3202,0.8758014777347273,0.47852007679059483
96,Cc1cc(Cl)ccc1OCCCC(=O)NO,3192,0.8776110331003586,0.476915349002347
97,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,3192,0.8475839438639259,2.416075446500578
98,Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,3179,0.872630811873228,0.4610969997017378
99,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,3173,0.9027590707936841,0.7861809571425198
100,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,3164,0.8129328860649644,0.5857499782283284
101,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,3163,0.8709681835179701,0.46205281644422413
102,CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1,3154,0.8753855215324399,0.8877176964021167
103,O=NN(CCCl)C(=O)NC1CCCCC1,3146,0.8863217309599145,0.46550956896846785
104,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,3139,0.8678299075472918,0.5610686466846673
105,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,3126,0.8603617444835457,0.4776316738738089
106,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,3115,0.8575350288308803,0.44103090376264475
107,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1.Cl.O,3104,0.8553516380270122,1.2525377959109214
108,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,3097,0.8525331937282514,0.4991080341489109
109,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,3081,0.8584484149765473,0.6241359371354456
110,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,3076,0.8760873718317879,0.5671511727426903
111,Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12,3068,0.8203503787237596,0.8150102269748629
112,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,3067,0.8609446725489983,0.5497855397842137
113,S=c1nc[nH]c2nc[nH]c12,3064,0.8599183510056838,0.5046562422043905
114,Cl.O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,3062,0.8593111065744445,0.4539613972872729
115,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3059,0.8625787241344388,0.4826753534983368
116,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,3056,0.8481708173228915,0.5256614837535594
117,CNC(=NC#N)NCCSCc1nc[nH]c1C,3055,0.8706989998469331,0.4757304520609509
118,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,3054,0.851165099642141,0.45328903241323104
119,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,3035,0.8678271622359444,0.480491745164791
120,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,3032,0.8691760236910935,0.5276192316516379
121,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,3028,0.812425906447847,1.7130683734524048
122,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,3026,0.8571959396812158,0.5347989425964244
123,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,3010,0.8975925665623772,0.7143485649015773
124,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,3009,0.8685725674160187,0.5152046943052113
125,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2998,0.8588390682717381,0.4875520264661901
