,perturbation,n,r2,fid
196,CHD2,336,0.9920294343146924,0.1460791600979885
197,ANKRD13D,336,0.9891383305646101,0.10050506932002534
198,CRYAB,335,0.9947845427951441,0.14771980707888055
199,DCAF5,335,0.9954383788454052,0.17143022759873716
200,CNTROB,335,0.9919659717811676,0.30443400978123947
201,COQ4,333,0.9924373392473688,0.11309137785505285
202,ARL4D,332,0.9930343266127796,0.12090972250966914
203,CITED2,332,0.9954508688005567,0.16227157055041985
204,BAG3,332,0.9939466815772634,0.19088743747785664
205,ATF7IP,332,0.9965016156508333,0.10952778586467993
206,C19orf25,331,0.9934092864463631,0.17593781115786555
207,ARHGAP5,331,0.9918322628409011,0.2547979095329538
208,CEP97,331,0.9880041927334392,0.13573410373490624
209,CRY1,329,0.9923544245237976,0.24336181807496438
210,CCNY,328,0.9954805601707375,0.17328249311900557
211,BARD1,327,0.9924149790230796,0.10548845997839962
212,ALG13,326,0.9888379782137432,0.4056962806511972
213,CAB39L,325,0.9955943011047994,0.13336723466824907
214,CSNK1D,323,0.9969737002234553,0.13067921591523834
215,DDT,323,0.993012439292478,0.21781218073007125
216,BOLA1,322,0.9919341057569605,0.13886733678752705
217,ARHGAP4,321,0.9931686208346214,0.1339792475057493
218,CREBL2,321,0.994864489210245,0.13986250724720328
219,ARHGEF18,320,0.9946347589124628,0.17376276429087056
220,AEN,320,0.9946520489867653,0.20339759671706936
221,ARHGAP21,320,0.9939843482241432,0.12992504431457164
222,CD59,320,0.9943823937742264,0.1511246878203174
223,DCAF15,319,0.9966200889852733,0.22185395981509082
224,CHCHD10,319,0.9912009483748565,0.15928295362374278
225,CCDC77,319,0.992955443842051,0.1656418684217993
226,BIVM,319,0.9947378449123063,0.1372650116521914
227,CFAP410,318,0.9954614443150864,0.23289719738243164
228,CDX2,318,0.9914511759740264,0.25803005771775744
229,CRCP,318,0.9892906177694551,0.1951454546948561
230,COMMD5,318,0.9910443572986789,0.1508295548973635
231,ATXN7L3,317,0.9942708509291743,0.23423549767758622
232,BACH2,317,0.9937788868342562,0.2886732942750907
233,ADAT3,317,0.9860592690191344,0.5308398743397689
234,BBS2,317,0.9952141201884722,0.311882413744506
235,AP3S1,317,0.9961461829316002,0.14862711293923425
236,CALM1,316,0.9957543675024165,0.2017643962353226
237,CWC25,315,0.9948086413954552,0.13120591951466665
238,DNLZ,315,0.9930316995369002,0.15542366658567097
239,BAHD1,315,0.9954573021646593,0.1484855671352623
240,DHFR,314,0.9929646355332636,0.10012330512449452
241,AHCYL1,313,0.9944017387530294,0.14152064730305192
242,CEP70,313,0.9917503328587063,0.1652419110106642
243,CXXC5,312,0.9945331655034756,0.14307450311193826
244,C18orf25,312,0.9966267106858296,0.11840848362461465
245,DCTN1,312,0.9894709851563349,0.13822239444390227
246,BICD2,311,0.9898944728268515,0.19558515853804792
247,ALYREF,311,0.9914213898794192,0.2605149588056399
248,CCND1,311,0.995472643501368,0.2676971147657703
249,CNPY3,311,0.9970622741775022,0.23100362817652176
250,ACER3,310,0.9959024157728604,0.10604477295797388
251,DLX2,310,0.9949704418848264,0.16380049164028243
