,perturbation,n,r2,fid
178,NAA35,460,0.9886099500713251,0.13757918171737238
179,JAZF1,459,0.987258743127169,0.1412096114428163
180,PRKRIP1,459,0.9898700042722469,0.1290289451914326
181,GRB10,457,0.9903585705685946,0.14690590627568412
182,EMC3,457,0.9890345468005336,0.18975309169496768
183,PCID2,455,0.9892643483752642,0.18120954599018013
184,TBX4,455,0.990263687385987,0.18450146334404494
185,UBXN10,454,0.9903720974794596,0.11677411628328471
186,WDR25,453,0.9905159112573684,0.11478519321863345
187,MYO1C,453,0.9913384605955424,0.08070812792922943
188,SYK,453,0.9907582441889996,0.11128627630028731
189,HIF3A,452,0.9913852346770115,0.12361973021352846
190,FSCN1,452,0.9908265255717039,0.13376526205889938
191,WDR54,452,0.9906343544408873,0.1523960971896532
192,HK1,451,0.9904407333350922,0.10594500554654296
193,TFEB,450,0.9902294130541827,0.12795718360716357
194,RELB,450,0.9894898318898432,0.17149647412590596
195,UBXN6,450,0.9904261853606124,0.13436491636527137
196,EXOC3,449,0.9903926035447997,0.11491145418466786
197,ZIC4,449,0.9908411122341916,0.0951294515066099
198,MYRF,449,0.9904849411511997,0.15894072089701972
199,LY6E,449,0.9883914231461706,0.1284840503207132
200,TSSK3,448,0.9901588253110534,0.1968631975214059
201,ERG,448,0.9900121705991901,0.16069678380793384
202,EDC4,447,0.9900240330032005,0.16755365858444016
203,POLR2E,447,0.9887892643219729,0.28807908066029775
204,FAM72D,445,0.9897814202340879,0.15369421882195589
205,RUFY3,443,0.9904010738624174,0.14845155069049376
206,GAL,443,0.9884668658918788,0.10948323089820278
207,PCCB,442,0.9883251683284983,0.1828284598849077
208,MSRB1,442,0.991022962157897,0.10387901410464195
209,NCL,442,0.9876432158015177,0.326339589572747
210,TRAPPC4,442,0.9911053681821451,0.13375606738934387
211,EEF2,442,0.9889324074347655,0.27219781317929304
212,ERMAP,440,0.9902503091152355,0.126272748593669
213,INTS1,439,0.9864805155214753,0.20091366890262385
214,GON4L,439,0.9901977566313486,0.1490463234876529
215,ZEB1,437,0.9899038478973332,0.21759376930508267
216,KRT10,437,0.9908807006134013,0.09877115889857713
217,ZBTB38,436,0.9902607304199043,0.12802022441785432
218,GOLGA8A,435,0.9902229057304542,0.12909726363134055
219,GRB2,435,0.9886667565875913,0.34012370824911997
220,SLC9A3R2,435,0.9903542950748524,0.14295653194417568
221,POU5F1,434,0.9894453510613657,0.10183118952434711
222,DRAP1,434,0.9858056619953427,0.2706404795845465
223,RNF170,434,0.9902587337958768,0.07362438261051096
224,FOXD3,433,0.9909926200650296,0.07069150121488299
225,KIAA1143,433,0.9902777738631288,0.16009472842619488
226,RPS6KA3,433,0.9905803306409332,0.12111457054916208
227,TFB2M,433,0.9905144897560745,0.10998782985555877
228,NCOR2,433,0.9911655983230659,0.1528226740165426
229,RNF166,433,0.9912469796945417,0.09499912850526471
230,TPM1,433,0.9902681335911389,0.12825878489569043
231,RB1,432,0.9911823946131139,0.14866499607986228
232,TMSB10,431,0.9846124317832826,0.1764584776946485
233,LTBP3,431,0.9904289873507399,0.1830689199950939
234,RAD52,431,0.9883599058130681,0.16594226208655805
235,NPB,431,0.9908552742317158,0.09021707988956429
236,RGS20,431,0.9900626022113544,0.1000020021086847
237,PDE8A,431,0.9884829620209806,0.23450970247028025
238,QPRT,430,0.990307911385694,0.14758093619396284
239,PXN,430,0.9882327512273434,0.172074375042504
240,SMARCB1,430,0.9861384830446016,0.17302795678142857
241,NELFCD,430,0.9769462882269663,0.7410140764841557
242,SLC4A5,429,0.9895076828583638,0.11013328628300023
243,NSF,429,0.9896749724931742,0.1378960294670435
244,SF3B2,428,0.9903590821291236,0.29461438665989625
245,ZNF721,427,0.9905123076909511,0.1436440020786005
246,SOX6,427,0.9896588245903372,0.1176333094012545
247,MYOD1,427,0.9910483757507021,0.1675324733305068
248,FSTL3,427,0.9899740664948334,0.15206646344024755
249,MEIS3,426,0.986072244947104,0.33128262174689205
250,MESP2,426,0.9905324929489184,0.10877159977769146
251,PTPN18,426,0.9903309133108352,0.1106398648008664
252,RSL1D1,426,0.988634313335703,0.3190995670515999
253,HOOK2,425,0.9902038861368372,0.20470432035089914
254,RPUSD1,423,0.9896154389430688,0.14248165119697376
255,MAN2B1,423,0.9902050597624611,0.13485555935585047
256,GAB2,423,0.9253881157738628,4.988162706836924
257,GTF3C5,423,0.9900636739430406,0.13031753575286054
258,RTEL1,423,0.9890271582177982,0.1890956882545236
259,DPF2,423,0.9891008200008308,0.17909829867166316
260,ZNF83,422,0.9908961411106826,0.09001318798178382
261,STAM2,422,0.9907027148784612,0.11513396742942028
262,SNRNP40,422,0.9890100757011734,0.2233163603947066
263,RIPK1,422,0.9899660896334121,0.13925328316937424
264,SPTY2D1,421,0.9901546072028146,0.1609508345806585
265,PEX19,420,0.9889673852378882,0.3510122269351239
266,PDCD6,420,0.9902837791402695,0.10970763535410022
267,METTL1,419,0.9889123654039168,0.15656425054251244
268,GRWD1,419,0.9897480344100246,0.17831573281660695
269,TIMP1,417,0.9893161687270954,0.2063813231805547
270,TSPAN4,417,0.9894645503963737,0.184887794176122
271,FBXO3,417,0.9912117946116945,0.1172579664003699
272,EIF4G2,417,0.9884826402433835,0.4059942061150661
273,PMPCB,416,0.9684923560870928,1.0456615994075449
274,HUS1,416,0.9888256489510991,0.18654549522642405
275,SERINC3,415,0.989040422131642,0.23421139088906529
276,ZNF687,415,0.9858502664517362,0.32200212173635023
277,LRRC47,415,0.9885657536360347,0.1288602745268772
278,PPIC,415,0.9906147463012591,0.13834636513565712
279,ISOC2,415,0.9890388227184388,0.1818370951466477
280,MAST1,415,0.9900796833204719,0.19198856960147026
281,SNCG,415,0.9913117049300454,0.19437796303130028
282,IPO9,414,0.9834861296176372,0.2544997245050791
283,EPOR,414,0.9912699925617183,0.15897010735259443
284,GFER,414,0.9676219204742759,1.9162145204499446
285,GAK,413,0.9907491949760681,0.1833888267438244
